issue_id,file_id,lang,comment_ratio_hula,cyclomatic_complexity_hula,fanout_external_hula,fanout_internal_hula,halstead_bugprop_hula,halstead_difficulty_hula,halstead_effort_hula,halstead_timerequired_hula,halstead_volume_hula,loc_hula,maintainability_index_hula,operands_sum_hula,operands_uniq_hula,operators_sum_hula,operators_uniq_hula,pylint_hula,tiobe_hula,tiobe_compiler_hula,tiobe_complexity_hula,tiobe_coverage_hula,tiobe_duplication_hula,tiobe_fanout_hula,tiobe_functional_hula,tiobe_security_hula,tiobe_standard_hula,halstead_vocabulary_hula,comment_ratio_human,cyclomatic_complexity_human,fanout_external_human,fanout_internal_human,halstead_bugprop_human,halstead_difficulty_human,halstead_effort_human,halstead_timerequired_human,halstead_volume_human,loc_human,maintainability_index_human,operands_sum_human,operands_uniq_human,operators_sum_human,operators_uniq_human,pylint_human,tiobe_human,tiobe_compiler_human,tiobe_complexity_human,tiobe_coverage_human,tiobe_duplication_human,tiobe_fanout_human,tiobe_functional_human,tiobe_security_human,tiobe_standard_human,halstead_vocabulary_human
0,0_2.kts,Kotlin,4.531,4.0,8.0,0.0,3.192,23.06,220824.149,12268.008,9576.0,229.0,20.108,741.0,241.0,456.0,15.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,256.0,4.925,4.0,8.0,0.0,2.825,22.637,191879.761,10659.987,8476.383,214.0,21.121,661.0,219.0,416.0,15.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,234.0
1,1_1.kt,Kotlin,4.115,1.0,25.0,0.0,0.799,30.857,73926.567,4107.031,2395.768,92.0,33.365,160.0,70.0,203.0,27.0,100.0,98.5,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,97.0,2.02,0.0,26.0,0.0,0.943,40.079,113411.932,6300.663,2829.74,106.0,31.651,181.0,70.0,244.0,31.0,100.0,98.169,100.0,98.462,100.0,100.0,68.0,100.0,100.0,100.0,101.0
2,2_1.java,Java,19.068,2.0,1.0,0.0,0.124,17.0,6312.691,350.705,371.335,22.0,52.454,34.0,13.0,45.0,13.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,26.0,37.241,1.0,1.0,0.0,0.041,11.917,1461.268,81.182,122.624,9.0,64.425,13.0,6.0,17.0,11.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0
10,10_1.scala,Scala,2.174,4.0,0.0,0.0,1.659,36.918,183714.741,10206.374,4976.267,116.0,28.542,262.0,110.0,435.0,31.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,141.0,1.644,5.0,0.0,0.0,1.331,36.337,145046.059,8058.114,3991.682,81.0,32.481,231.0,89.0,350.0,28.0,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,117.0
15,15_1.ts,TypeScript,4.642,2.0,14.0,4.0,5.082,42.5,647906.909,35994.828,15244.868,319.0,15.823,680.0,144.0,1397.0,18.0,100.0,97.328,100.0,95.522,100.0,100.0,60.0,100.0,100.0,100.0,162.0,4.072,2.0,14.0,4.0,4.373,40.8,535287.267,29738.182,13119.786,272.0,17.79,600.0,125.0,1235.0,17.0,100.0,97.328,100.0,95.522,100.0,100.0,60.0,100.0,100.0,100.0,142.0
18,18_2.kt,Kotlin,0.0,2.0,26.0,0.0,0.871,24.823,64834.188,3601.899,2611.842,86.0,33.606,177.0,82.0,212.0,23.0,100.0,97.728,100.0,95.522,100.0,100.0,68.0,100.0,100.0,100.0,105.0,0.0,2.0,26.0,0.0,0.593,18.141,32292.391,1794.022,1780.115,72.0,36.456,129.0,64.0,151.0,18.0,100.0,97.728,100.0,95.522,100.0,100.0,68.0,100.0,100.0,100.0,82.0
18,18_4.kt,Kotlin,0.0,1.0,1.0,0.0,0.064,6.577,1261.162,70.065,191.756,13.0,59.582,19.0,13.0,24.0,9.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,0.0,2.0,4.0,0.0,0.144,14.0,6045.289,335.849,431.806,16.0,55.012,42.0,18.0,46.0,12.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,30.0
18,18_5.kt,Kotlin,0.0,2.0,3.0,0.0,0.232,26.4,18365.558,1020.309,695.665,38.0,45.367,72.0,15.0,76.0,11.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,26.0,1.034,2.0,3.0,0.0,0.117,11.306,3954.397,219.689,349.775,21.0,53.077,37.0,18.0,35.0,11.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,29.0
20,20_2.ts,TypeScript,0.906,30.0,15.0,1.0,3.316,32.003,318403.217,17689.068,9949.164,311.0,13.595,425.0,166.0,888.0,25.0,100.0,84.137,100.0,0.245,100.0,100.0,82.0,100.0,100.0,100.0,191.0,0.915,30.0,15.0,1.0,3.198,32.547,312210.077,17345.004,9592.541,308.0,13.798,414.0,159.0,861.0,25.0,100.0,84.137,100.0,0.245,100.0,100.0,82.0,100.0,100.0,100.0,184.0
22,22_1.ts,TypeScript,2.403,5.0,5.0,3.0,0.67,26.093,52485.356,2915.853,2011.471,70.0,35.947,102.0,43.0,232.0,22.0,100.0,90.3,100.0,40.0,100.0,100.0,86.0,100.0,100.0,100.0,65.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
