issue_id,file_id,lang,comment_ratio_hula,cyclomatic_complexity_hula,fanout_external_hula,fanout_internal_hula,halstead_bugprop_hula,halstead_difficulty_hula,halstead_effort_hula,halstead_timerequired_hula,halstead_volume_hula,loc_hula,maintainability_index_hula,operands_sum_hula,operands_uniq_hula,operators_sum_hula,operators_uniq_hula,pylint_hula,tiobe_hula,tiobe_compiler_hula,tiobe_complexity_hula,tiobe_coverage_hula,tiobe_duplication_hula,tiobe_fanout_hula,tiobe_functional_hula,tiobe_security_hula,tiobe_standard_hula,halstead_vocabulary_hula,comment_ratio_human,cyclomatic_complexity_human,fanout_external_human,fanout_internal_human,halstead_bugprop_human,halstead_difficulty_human,halstead_effort_human,halstead_timerequired_human,halstead_volume_human,loc_human,maintainability_index_human,operands_sum_human,operands_uniq_human,operators_sum_human,operators_uniq_human,pylint_human,tiobe_human,tiobe_compiler_human,tiobe_complexity_human,tiobe_coverage_human,tiobe_duplication_human,tiobe_fanout_human,tiobe_functional_human,tiobe_security_human,tiobe_standard_human,halstead_vocabulary_human
22,22_2.ts,TypeScript,0.0,3.0,6.0,7.0,1.137,22.494,76729.149,4262.73,3411.056,104.0,30.86,206.0,87.0,301.0,19.0,100.0,94.6,100.0,80.0,100.0,100.0,52.0,100.0,100.0,100.0,106.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_3.ts,TypeScript,0.0,2.0,3.0,3.0,0.706,20.202,42790.528,2377.252,2118.174,48.0,39.768,167.0,62.0,171.0,15.0,100.0,98.828,100.0,95.522,100.0,100.0,90.0,100.0,100.0,100.0,77.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_4.ts,TypeScript,2.636,4.0,4.0,2.0,0.72,20.403,44083.277,2449.071,2160.603,63.0,36.863,115.0,62.0,223.0,22.0,100.0,93.607,100.0,58.716,100.0,100.0,96.0,100.0,100.0,100.0,84.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_5.ts,TypeScript,1.995,6.0,7.0,3.0,0.786,19.866,46826.705,2601.484,2357.167,82.0,33.832,121.0,67.0,243.0,22.0,100.0,88.117,100.0,26.778,100.0,100.0,82.0,100.0,100.0,100.0,89.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_6.ts,TypeScript,1.063,9.0,8.0,2.0,1.518,33.679,153357.614,8519.867,4553.507,152.0,25.579,248.0,81.0,433.0,22.0,100.0,85.764,100.0,9.091,100.0,100.0,88.0,100.0,100.0,100.0,103.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_7.ts,TypeScript,0.0,5.0,7.0,2.0,0.939,25.941,73106.873,4061.493,2818.179,97.0,31.831,147.0,68.0,285.0,24.0,100.0,90.5,100.0,40.0,100.0,100.0,90.0,100.0,100.0,100.0,92.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_8.ts,TypeScript,1.5,8.0,7.0,5.0,0.849,21.864,55682.684,3093.482,2546.727,103.0,31.167,129.0,59.0,275.0,20.0,100.0,85.201,100.0,12.673,100.0,100.0,66.0,100.0,100.0,100.0,79.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_9.ts,TypeScript,0.0,8.0,6.0,2.0,0.887,13.879,36936.296,2052.016,2661.403,85.0,32.853,198.0,107.0,186.0,15.0,100.0,86.501,100.0,12.673,100.0,100.0,92.0,100.0,100.0,100.0,122.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
22,22_10.ts,TypeScript,0.0,3.0,9.0,2.0,1.036,23.406,72721.498,4040.083,3106.987,116.0,30.109,170.0,69.0,311.0,19.0,100.0,96.3,100.0,80.0,100.0,100.0,86.0,100.0,100.0,100.0,88.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
24,24_1.java,Java,8.267,21.0,21.0,0.0,1.594,32.381,154800.246,8600.014,4780.596,110.0,26.881,320.0,84.0,398.0,17.0,100.0,84.008,100.0,0.722,100.0,100.0,78.0,100.0,100.0,100.0,101.0,9.163,19.0,21.0,0.0,1.386,30.622,127347.428,7074.857,4158.719,101.0,28.382,281.0,78.0,352.0,17.0,100.0,84.047,100.0,0.978,100.0,100.0,78.0,100.0,100.0,100.0,95.0
31,31_1.ts,TypeScript,8.439,15.0,16.0,1.0,2.769,27.544,228837.689,12713.205,8308.153,237.0,18.735,339.0,160.0,763.0,26.0,100.0,84.3,100.0,2.0,100.0,100.0,80.0,100.0,100.0,100.0,186.0,6.929,16.0,16.0,1.0,2.748,26.582,219163.515,12175.751,8244.723,234.0,18.745,336.0,158.0,761.0,25.0,100.0,84.247,100.0,1.646,100.0,100.0,80.0,100.0,100.0,100.0,183.0
31,31_1.ts,TypeScript,8.439,15.0,16.0,1.0,2.769,27.544,228837.689,12713.205,8308.153,237.0,18.735,339.0,160.0,763.0,26.0,100.0,84.3,100.0,2.0,100.0,100.0,80.0,100.0,100.0,100.0,186.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
33,33_2.go,Go,12.721,3.0,2.0,0.0,0.909,24.508,66810.995,3711.722,2726.052,111.0,30.924,173.0,60.0,262.0,17.0,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,12.895,2.0,2.0,0.0,0.896,24.083,64746.872,3597.048,2688.451,110.0,31.187,170.0,60.0,259.0,17.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,77.0
36,36_1.kt,Kotlin,4.111,3.0,19.0,0.0,0.389,14.943,17460.641,970.036,1168.452,66.0,38.426,88.0,53.0,102.0,18.0,100.0,96.1,100.0,80.0,100.0,100.0,82.0,100.0,100.0,100.0,71.0,2.01,2.0,19.0,0.0,0.797,22.012,52654.074,2925.226,2392.057,82.0,34.325,174.0,83.0,183.0,21.0,100.0,98.428,100.0,95.522,100.0,100.0,82.0,100.0,100.0,100.0,104.0
36,36_2.kt,Kotlin,0.0,1.0,21.0,0.0,0.668,21.878,43874.301,2437.461,2005.448,68.0,36.769,134.0,49.0,199.0,16.0,100.0,98.9,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,65.0,0.0,4.0,21.0,0.0,3.774,81.27,920084.594,51115.811,11321.263,182.0,21.775,661.0,122.0,901.0,30.0,100.0,92.707,100.0,58.716,100.0,100.0,78.0,100.0,100.0,100.0,152.0
38,38_1.java,Java,17.36,33.0,27.0,0.0,5.671,58.908,1002221.715,55678.984,17013.277,319.0,11.32,871.0,207.0,1289.0,28.0,100.0,83.328,100.0,0.183,100.0,100.0,66.0,100.0,100.0,100.0,235.0,17.99,31.0,27.0,0.0,5.397,58.03,939539.57,52196.643,16190.584,309.0,12.041,829.0,200.0,1238.0,28.0,100.0,83.333,100.0,0.222,100.0,100.0,66.0,100.0,100.0,100.0,228.0
42,42_1.java,Java,6.914,1.0,5.0,0.0,0.204,21.0,12880.588,715.588,613.361,32.0,47.513,42.0,15.0,83.0,15.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,0.0,1.0,5.0,0.0,0.971,29.746,86680.811,4815.601,2914.056,65.0,36.06,195.0,59.0,270.0,18.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0
47,47_1.ts,TypeScript,0.0,1.0,7.0,0.0,0.934,34.23,95933.275,5329.626,2802.63,144.0,28.643,149.0,37.0,338.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
47,47_1.ts,TypeScript,0.0,1.0,7.0,0.0,0.934,34.23,95933.275,5329.626,2802.63,144.0,28.643,149.0,37.0,338.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
47,47_1.ts,TypeScript,0.0,1.0,7.0,0.0,0.934,34.23,95933.275,5329.626,2802.63,144.0,28.643,149.0,37.0,338.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
47,47_1.ts,TypeScript,0.0,1.0,7.0,0.0,0.934,34.23,95933.275,5329.626,2802.63,144.0,28.643,149.0,37.0,338.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
47,47_2.ts,TypeScript,0.0,0.0,11.0,3.0,1.037,23.371,72707.53,4039.307,3111.019,125.0,29.801,138.0,62.0,350.0,21.0,100.0,98.469,100.0,98.462,100.0,100.0,74.0,100.0,100.0,100.0,83.0,0.0,4.0,11.0,3.0,0.98,24.129,70950.599,3941.7,2940.466,107.0,30.907,136.0,62.0,324.0,22.0,100.0,92.507,100.0,58.716,100.0,100.0,74.0,100.0,100.0,100.0,84.0
48,48_1.java,Java,2.435,0.0,28.0,0.0,1.724,39.68,205168.645,11398.258,5170.55,95.0,30.856,273.0,86.0,488.0,25.0,100.0,97.969,100.0,98.462,100.0,100.0,64.0,100.0,100.0,100.0,111.0,2.422,0.0,28.0,0.0,1.724,39.68,205168.645,11398.258,5170.55,95.0,30.856,273.0,86.0,488.0,25.0,100.0,97.969,100.0,98.462,100.0,100.0,64.0,100.0,100.0,100.0,111.0
59,59_1.kt,Kotlin,0.903,7.0,18.0,0.0,1.991,39.504,235914.575,13106.365,5971.969,124.0,26.952,328.0,137.0,478.0,33.0,100.0,86.927,100.0,18.182,100.0,100.0,84.0,100.0,100.0,100.0,170.0,0.0,8.0,16.0,0.0,1.799,36.858,198942.278,11052.349,5397.494,113.0,28.005,302.0,127.0,437.0,31.0,100.0,86.301,100.0,12.673,100.0,100.0,88.0,100.0,100.0,100.0,158.0
59,59_2.kt,Kotlin,0.932,9.0,46.0,0.0,5.635,56.454,954384.048,53021.336,16905.606,270.0,16.147,938.0,324.0,1050.0,39.0,100.0,82.764,100.0,9.091,100.0,100.0,28.0,100.0,100.0,100.0,363.0,0.94,9.0,46.0,0.0,5.576,56.252,941042.558,52280.142,16728.951,269.0,16.214,926.0,321.0,1044.0,39.0,100.0,82.764,100.0,9.091,100.0,100.0,28.0,100.0,100.0,100.0,360.0
59,59_3.kt,Kotlin,11.837,2.0,48.0,0.0,14.272,236.765,10137427.044,563190.391,42816.462,723.0,4.931,2300.0,306.0,2721.0,63.0,100.0,95.528,100.0,95.522,100.0,100.0,24.0,100.0,100.0,100.0,369.0,11.626,2.0,48.0,0.0,14.07,230.373,9723720.927,540206.718,42208.679,710.0,5.147,2274.0,306.0,2678.0,62.0,100.0,95.528,100.0,95.522,100.0,100.0,24.0,100.0,100.0,100.0,368.0
64,64_1.ts,TypeScript,15.447,21.0,12.0,4.0,1.598,17.287,82864.862,4603.603,4793.528,139.0,24.656,223.0,129.0,441.0,20.0,100.0,83.308,100.0,0.722,100.0,100.0,64.0,100.0,100.0,100.0,149.0,6.174,15.0,8.0,4.0,1.238,16.857,62586.577,3477.032,3712.763,92.0,30.149,177.0,105.0,356.0,20.0,100.0,83.9,100.0,2.0,100.0,100.0,72.0,100.0,100.0,100.0,125.0
66,66_1.java,Java,0.394,0.0,23.0,0.0,2.187,32.364,212371.837,11798.435,6561.908,147.0,25.995,334.0,129.0,569.0,25.0,100.0,98.469,100.0,98.462,100.0,100.0,74.0,100.0,100.0,100.0,154.0,0.406,1.0,23.0,0.0,2.077,31.746,197849.73,10991.652,6232.266,143.0,26.279,320.0,126.0,541.0,25.0,100.0,98.7,100.0,100.0,100.0,100.0,74.0,100.0,100.0,100.0,151.0
68,68_1.java,Java,4.55,7.0,31.0,0.0,4.109,51.792,638378.987,35465.499,12325.844,218.0,19.404,640.0,173.0,971.0,28.0,100.0,85.627,100.0,18.182,100.0,100.0,58.0,100.0,100.0,100.0,201.0,0.786,2.0,31.0,0.0,4.756,63.391,904530.078,50251.671,14268.993,222.0,19.459,729.0,184.0,1111.0,32.0,100.0,97.228,100.0,95.522,100.0,100.0,58.0,100.0,100.0,100.0,216.0
69,69_1.ts,TypeScript,0.0,5.0,10.0,1.0,0.504,19.029,28774.454,1598.581,1512.171,59.0,38.435,74.0,35.0,190.0,18.0,100.0,90.6,100.0,40.0,100.0,100.0,92.0,100.0,100.0,100.0,53.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
69,69_1.ts,TypeScript,0.0,5.0,10.0,1.0,0.504,19.029,28774.454,1598.581,1512.171,59.0,38.435,74.0,35.0,190.0,18.0,100.0,90.6,100.0,40.0,100.0,100.0,92.0,100.0,100.0,100.0,53.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
70,70_1.java,Java,3.623,4.0,9.0,0.0,0.434,21.25,27642.126,1535.674,1300.806,38.0,43.195,95.0,38.0,130.0,17.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,55.0,0.0,4.0,9.0,0.0,0.397,20.542,24473.495,1359.639,1191.407,34.0,44.516,87.0,36.0,121.0,17.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,53.0
76,76_1.java,Java,0.0,0.0,24.0,0.0,2.05,35.308,217119.898,12062.217,6149.365,151.0,25.938,340.0,130.0,503.0,27.0,100.0,98.369,100.0,98.462,100.0,100.0,72.0,100.0,100.0,100.0,157.0,0.0,0.0,24.0,0.0,1.756,35.687,188047.551,10447.086,5269.364,135.0,27.469,304.0,115.0,433.0,27.0,100.0,98.369,100.0,98.462,100.0,100.0,72.0,100.0,100.0,100.0,142.0
78,78_3.java,Java,0.607,2.0,37.0,0.0,8.923,205.951,5512926.859,306273.714,26768.137,413.0,11.665,1378.0,184.0,2010.0,55.0,100.0,96.628,100.0,95.522,100.0,100.0,46.0,100.0,100.0,100.0,239.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
81,81_2.ts,TypeScript,3.937,5.0,9.0,1.0,0.639,20.543,39379.469,2187.748,1916.884,83.0,34.48,90.0,46.0,226.0,21.0,100.0,90.7,100.0,40.0,100.0,100.0,94.0,100.0,100.0,100.0,67.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
85,85_1.py,Python,6.723,4.0,5.0,0.0,2.639,60.346,477813.667,26545.204,7917.943,280.0,18.782,752.0,81.0,456.0,13.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,94.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
85,85_2.py,Python,25.329,4.0,7.0,0.0,1.747,36.886,193340.37,10741.132,5241.63,239.0,21.536,471.0,83.0,325.0,13.0,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,96.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
86,86_1.kt,Kotlin,8.351,0.0,16.0,0.0,1.308,43.096,169133.232,9396.291,3924.579,115.0,29.884,242.0,73.0,350.0,26.0,100.0,99.169,100.0,98.462,100.0,100.0,88.0,100.0,100.0,100.0,99.0,8.707,0.0,16.0,0.0,1.222,36.257,132917.213,7384.29,3665.979,114.0,30.174,227.0,72.0,331.0,23.0,100.0,99.169,100.0,98.462,100.0,100.0,88.0,100.0,100.0,100.0,95.0
90,90_1.py,Python,3.655,6.0,11.0,0.0,3.062,63.46,582929.768,32384.987,9185.804,242.0,19.443,621.0,137.0,626.0,28.0,100.0,88.917,100.0,26.778,100.0,100.0,98.0,100.0,100.0,100.0,165.0,0.0,2.0,0.0,0.0,0.002,0.5,2.377,0.132,4.755,1.0,94.99,2.0,2.0,0.0,0.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,2.0
90,90_1.py,Python,3.655,6.0,11.0,0.0,3.062,63.46,582929.768,32384.987,9185.804,242.0,19.443,621.0,137.0,626.0,28.0,100.0,88.917,100.0,26.778,100.0,100.0,98.0,100.0,100.0,100.0,165.0,3.663,6.0,11.0,0.0,3.037,62.847,572668.105,31814.895,9112.141,242.0,19.467,615.0,137.0,622.0,28.0,100.0,88.917,100.0,26.778,100.0,100.0,98.0,100.0,100.0,100.0,165.0
90,90_2.py,Python,7.309,8.0,7.0,0.0,5.581,60.854,1018923.795,56606.877,16743.718,360.0,13.585,1140.0,281.0,882.0,30.0,100.0,86.901,100.0,12.673,100.0,100.0,100.0,100.0,100.0,100.0,311.0,6.185,8.0,7.0,0.0,5.575,61.071,1021483.61,56749.089,16726.047,355.0,13.721,1140.0,280.0,881.0,30.0,100.0,86.901,100.0,12.673,100.0,100.0,100.0,100.0,100.0,100.0,310.0
97,97_1.py,Python,21.776,2.0,1.0,0.0,0.134,11.088,4461.518,247.862,402.365,18.0,54.111,29.0,17.0,53.0,13.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,30.0,7.184,5.0,4.0,0.0,1.591,34.392,164190.535,9121.696,4774.125,99.0,30.035,417.0,97.0,283.0,16.0,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,113.0
100,100_1.ts,TypeScript,0.0,3.0,4.0,0.0,0.106,9.967,3162.278,175.682,317.285,18.0,54.699,23.0,15.0,43.0,13.0,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,0.0,3.0,4.0,0.0,0.086,8.462,2172.567,120.698,256.758,15.0,57.07,20.0,13.0,36.0,11.0,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0
101,101_1.java,Java,0.0,1.0,7.0,0.0,0.165,14.8,7345.429,408.079,496.313,23.0,51.285,37.0,20.0,59.0,16.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.0,0.0,3.0,5.0,0.0,0.181,15.375,8359.449,464.414,543.704,25.0,49.949,41.0,20.0,65.0,15.0,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0
101,101_2.java,Java,0.0,2.0,9.0,0.0,0.212,14.0,8902.611,494.589,635.901,31.0,47.569,44.0,22.0,79.0,14.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,36.0,0.0,2.0,9.0,0.0,0.212,14.0,8902.611,494.589,635.901,31.0,47.569,44.0,22.0,79.0,14.0,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,36.0
108,108_1.java,Java,0.0,0.0,46.0,0.0,3.844,46.433,535485.494,29749.194,11532.537,216.0,20.635,570.0,178.0,929.0,29.0,100.0,96.169,100.0,98.462,100.0,100.0,28.0,100.0,100.0,100.0,207.0,0.676,0.0,46.0,0.0,3.407,46.055,470741.913,26152.328,10221.388,207.0,21.405,517.0,174.0,814.0,31.0,100.0,96.169,100.0,98.462,100.0,100.0,28.0,100.0,100.0,100.0,205.0
113,113_3.py,Python,4.872,45.0,6.0,0.0,6.679,78.417,1571260.911,87292.273,20037.174,382.0,7.501,1227.0,266.0,1208.0,34.0,100.0,85.011,100.0,0.072,100.0,100.0,100.0,100.0,100.0,100.0,300.0,41.199,1.0,14.0,0.0,2.77,22.27,185071.701,10281.761,8310.258,236.0,20.658,824.0,296.0,179.0,16.0,100.0,99.6,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,312.0
